motusTagID,spp,age,tagDeployID,start_recvSiteName,start_recvDeployID,start_recvDeployLat,start_recvDeployLon,start_time,end_recvSiteName,end_recvDeployID,end_recvDeployLat,end_recvDeployLon,end_time,traj_len,traj_net_disp,traj_dur_h,traj_straightness,groundspeed_net,groundspeed_traj,brng_init,uwind,vwind,tailwind,keep,notes
28461,Ruddy Turnstone,ad,16194,Pointe Mouillee,4285,42.0096,-83.1862,2018-05-26T14:13:52Z,Clare,4687,44.1509,-84.9484,2018-05-26T19:08:52Z,277801.922,277801.922,4.916477611,1,15.69562737,15.69562737,329.4981246,2,2.5,1.138898238,TRUE,
28468,Ruddy Turnstone,ad,16201,Black Log Tower,4219,40.4326,-77.648,2018-06-01T16:38:15Z,Gerdau,4710,43.8487,-78.9081,2018-06-02T01:05:56Z,394063.7002,393472.1968,8.461342639,0.998498965,12.9173155,12.93673399,345.0689623,1.3999939,1.800003,1.378511681,TRUE,
28468,Ruddy Turnstone,ad,16201,Snowshoe Fire Tower,4208,41.0263,-77.9591,2018-06-01T17:55:57Z,Gerdau,4710,43.8487,-78.9081,2018-06-02T01:05:56Z,323088.7063,323088.7063,7.166430417,1,12.5232309,12.5232309,346.3331401,1.3999939,1.800003,1.418252438,FALSE,shorter subset
28473,Ruddy Turnstone,ad,16206,"Santee NWR, SC",4446,33.5338,-80.4313,2018-05-31T06:38:30Z,Brighton,3051,44.0128,-77.7452,2018-05-31T20:25:58Z,1186292.483,1186292.483,13.79114792,1,23.8940001,23.8940001,10.51867619,1.3999939,5,5.171554581,TRUE,
28474,Ruddy Turnstone,ad,16207,PARC Banding,4250,40.1636,-79.2675,2018-06-02T18:08:31Z,Mack Lake,4689,44.565,-84.024,2018-06-03T02:42:37Z,767690.9454,626302.0051,8.568371806,0.815825703,20.30406513,24.88774877,322.8719545,1.699997,-4.5,-4.613913906,TRUE,
28474,Ruddy Turnstone,ad,16207,PARC Mt. Laurel,4668,40.1809,-79.1504,2018-06-02T18:15:06Z,Mack Lake,4689,44.565,-84.024,2018-06-03T02:42:37Z,757531.0221,630850.4541,8.458722222,0.832771775,20.71663221,24.87672232,322.1222917,1.699997,-4.5,-4.595714606,FALSE,shorter subset
28474,Ruddy Turnstone,ad,16207,PARC Binkey,4640,40.2509,-79.3298,2018-06-02T18:20:35Z,Mack Lake,4689,44.565,-84.024,2018-06-03T02:42:37Z,740392.2815,615374.8857,8.367347528,0.831147084,20.42911062,24.57941683,322.6808117,1.699997,-4.5,-4.6093485,FALSE,shorter subset
28474,Ruddy Turnstone,ad,16207,PARC Armour,4641,40.179,-79.2733,2018-06-02T18:04:08Z,Mack Lake,4689,44.565,-84.024,2018-06-03T02:42:37Z,731071.7698,624641.089,8.641471889,0.854418287,20.07891894,23.50010441,322.8098524,1.699997,-4.5,-4.61243624,FALSE,shorter subset
28474,Ruddy Turnstone,ad,16207,Stutchbury,4215,41.7859,-79.9504,2018-06-02T21:11:48Z,Mack Lake,4689,44.565,-84.024,2018-06-03T02:42:37Z,543734.0993,452693.3104,5.513816028,0.832563768,22.80600969,27.39250803,314.3685851,-1.1000061,-3.699997,-1.800956261,FALSE,shorter subset
28474,Ruddy Turnstone,ad,16207,West Port Bruce,2292,42.6616,-81.0627,2018-06-02T22:47:49Z,Mack Lake,4689,44.565,-84.024,2018-06-03T02:42:37Z,409973.8833,319132.2803,3.913474722,0.778421,22.6519556,29.09987731,312.5115032,-1.1000061,-3.699997,-1.689369026,FALSE,shorter subset
28474,Ruddy Turnstone,ad,16207,Arkey's Acres,3954,42.6119,-81.7345,2018-06-02T22:58:53Z,Mack Lake,4689,44.565,-84.024,2018-06-03T02:42:37Z,354591.3268,285062.3349,3.728994806,0.803917957,21.23467209,26.41397908,320.3511121,-2.100006,-3.300003,-1.200925916,FALSE,shorter subset
28474,Ruddy Turnstone,ad,16207,Auzins,4081,42.9254,-81.3673,2018-06-02T23:17:53Z,Mack Lake,4689,44.565,-84.024,2018-06-03T02:42:37Z,308584.3655,281005.4404,3.412188361,0.910627601,22.87595482,25.1210866,311.3202174,-2.100006,-3.300003,-0.601712126,FALSE,shorter subset
28474,Ruddy Turnstone,ad,16207,Pinery_Provincial_Pa,3960,43.2497,-81.8249,2018-06-02T23:50:13Z,Mack Lake,4689,44.565,-84.024,2018-06-03T02:42:37Z,256754.72,229255.6244,2.87336075,0.89289741,22.1629386,24.82137182,310.3588157,-2.100006,-3.300003,-0.53677773,FALSE,shorter subset
28481,Ruddy Turnstone,ad,19547,Stutchbury,4215,41.7859,-79.9504,2018-05-26T09:02:32Z,New_Farm,3991,44.2884,-80.2239,2018-05-26T13:18:32Z,380550.3839,278902.9308,4.266471222,0.732893574,18.15857468,24.77655056,355.509424,2.300003,1.5,1.315316324,TRUE,
28481,Ruddy Turnstone,ad,19547,PresqueIsle,2988,42.1098,-80.1541,2018-05-26T09:29:38Z,New_Farm,3991,44.2884,-80.2239,2018-05-26T13:18:32Z,340805.9855,242101.7768,3.814795139,0.710380061,17.62886108,24.81609781,358.6810856,2.300003,1.5,1.446662588,FALSE,shorter subset
28481,Ruddy Turnstone,ad,19547,Breakwater,2153,42.5611,-80.2844,2018-05-26T10:08:01Z,New_Farm,3991,44.2884,-80.2239,2018-05-26T13:18:32Z,289538.1924,191967.6805,3.175097694,0.663013328,16.79455589,25.33064599,1.441636051,2.300003,1.5,1.557390156,FALSE,shorter subset
28481,Ruddy Turnstone,ad,19547,Werden,4150,42.7551,-80.2724,2018-05-26T10:27:22Z,New_Farm,3991,44.2884,-80.2239,2018-05-26T13:18:32Z,267965.0062,170399.5317,2.852555,0.63590218,16.59326578,26.09405391,1.301905173,2.300003,1.5,1.551870176,FALSE,shorter subset
28481,Ruddy Turnstone,ad,19547,Turkey Point,3121,42.7102,-80.3573,2018-05-26T10:26:35Z,New_Farm,3991,44.2884,-80.2239,2018-05-26T13:18:32Z,259408.1694,175673.9985,2.865693389,0.67721074,17.0284557,25.14498764,3.475255157,2.300003,1.5,1.636661947,FALSE,shorter subset
28481,Ruddy Turnstone,ad,19547,Waterford_Quarry,3953,42.9155,-80.3107,2018-05-26T10:39:36Z,New_Farm,3991,44.2884,-80.2239,2018-05-26T13:18:32Z,236281.9646,152696.456,2.648754056,0.646246768,16.01344682,24.77915189,2.600746954,2.300003,1.5,1.60281993,FALSE,shorter subset
28482,Ruddy Turnstone,ad,19548,B10A Oak Tree,4389,40.4759,-76.6079,2018-05-29T01:02:04Z,Brighton,3051,44.0128,-77.7452,2018-05-29T08:10:04Z,421549.9849,403917.8643,7.133297444,0.95817312,15.72896793,16.41558044,346.9428822,0,3.800003,3.70175517,FALSE,shorter subset
