keep,B_10_MIN_BLOCK,B_AGE_CODE,B_REGION,B_BAND_SIZE_CODE,B_BAND_STATUS_CODE,B_BAND_TYPE_CODE,B_BIRD_STATUS,B_COMMENTS,B_COORD_PRECISION,B_COUNTRY_CODE,B_DIRECTION_CODE,B_EXTRA_INFO_CODE,B_FLYWAY_CODE,B_HOW_AGED_CODE,B_HOW_CAPTURED,B_HOW_SEXED_CODE,B_LAT_10_MIN_BLK,B_LAT_DECIMAL_DEGREES,B_LOCATION_DESCRIPTION,B_LOCATION_ID,B_LON_10_MIN_BLK,B_LON_DECIMAL_DEGREES,B_MARKER_LONG_DESC,B_PERMIT_NUM,B_SEX_CODE,B_SPECIES_ID,B_SPECIES_NAME,B_STATE_CODE,BAND_NUM,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BEARING,DISTANCE,E_10_MIN_BLOCK,E_REGION,E_CAPTURE_TIME,E_CERTIFICATE_FLAG,E_CERTIFICATE_LANGUAGE,E_COMMENTS,E_COORD_PRECISION,E_COUNTRY_CODE,E_COUNTY_CODE,E_CREATE_DATE,E_CREATE_MONTH,E_CREATE_YEAR,E_DIRECTION_CODE,E_ENC_COUNTY_ORIGINAL,E_FLYWAY_CODE,E_HOW_CAPTURED,E_HOW_OBTAINED_CODE,E_LAT_10_MIN_BLK,E_LAT_DECIMAL_DEGREES,E_LOCATION_DESCRIPTION,E_LOCATION_ID,E_LON_10_MIN_BLK,E_LON_DECIMAL_DEGREES,E_MARKER_LONG_DESC,E_PLACE_NAME,E_PRESENT_CONDITION_CODE,E_REPORT_LOCATION_CHOICE,E_SPECIES_NAME,E_STATE_CODE,E_WHO_OBTAINED_CODE,E_WHY_REPORTED_CODE,ENC_PERMIT,ENCOUNTER_DATE,ENCOUNTER_DAY,ENCOUNTER_MONTH,ENCOUNTER_YEAR,HSS,MIN_AGE_AT_ENC,ORIGINAL_BAND,OTHER_BANDS,SAME_10_MIN_BLOCK
TRUE,7021502,6,3,2,0,82,3,,0,US,0,1,5,PL,Bow net,PL,702,70.42639,"20.8 mi NNE from Nuiqsut(Helmericks' Yard, Anachlik Island-Colville River Delta, 50 miles wsw of Deadhorse Alaska), North Slope Borough Alaska, United States (Bandit ID: LOCA)",275281,1502,-150.40139,"PLASTIC COLOR LEG BAND, LEFT LEG BELOW THE JOINT: H55 BLACK ON WHITE, STYLE - 3HBT;",22589,5,2830,Ruddy Turnstone,2,133226636,6/5/2018,5,6,2018,S,3514.3,1931555,96,,E,E,Enc created from Marker ID#: 11496;;;,11,US,1,9/25/2018,9,2018,0,1,0,,29,193,19.64056,The Kaloko Honokohou National Historical Park,,1555,-155.99556,LEFT LEG BAND #3: H55 BLACK ON WHITE; ,Kailua Kona,7,,Ruddy Turnstone,15,21,13,,9/9/2018,9,9,2018,1,2.25,133226636,,N
TRUE,7021502,6,3,2,0,82,3,,0,US,0,1,5,PL,Bow net,PL,702,70.42639,"20.8 mi NNE from Nuiqsut(Helmericks' Yard, Anachlik Island-Colville River Delta, 50 miles wsw of Deadhorse Alaska), North Slope Borough Alaska, United States (Bandit ID: LOCA)",275281,1502,-150.40139,"PLASTIC COLOR LEG BAND, LEFT LEG BELOW THE JOINT: H55 BLACK ON WHITE, STYLE - 3HBT;",22589,5,2830,Ruddy Turnstone,2,133226636,6/5/2018,5,6,2018,S,3512,1941560,96,,E,E,Band number auto-assigned.,0,US,1,10/24/2019,10,2019,0,1,0,,29,194,19.67507,Honokohau Bay,,1560,-156.02629,RIGHT LEG BAND #1: SILVER; LEFT LEG BAND #1: H55 BLACK ON WHITE; ,Honokōhau,7,WM,Ruddy Turnstone,15,21,13,,10/23/2019,23,10,2019,2,3.33,133226636,,N
TRUE,7021502,6,3,2,0,82,3,,0,US,0,1,5,PL,Bow net,PL,702,70.42639,"20.8 mi NNE from Nuiqsut(Helmericks' Yard, Anachlik Island-Colville River Delta, 50 miles wsw of Deadhorse Alaska), North Slope Borough Alaska, United States (Bandit ID: LOCA)",275281,1502,-150.40139,"PLASTIC COLOR LEG BAND, LEFT LEG BELOW THE JOINT: H55 BLACK ON WHITE, STYLE - 3HBT;",22589,5,2830,Ruddy Turnstone,2,133226636,6/5/2018,5,6,2018,S,3512.1,1941560,96,,E,E,Band number auto-assigned.,0,US,1,10/31/2019,10,2019,0,1,0,,29,194,19.67345,,,1560,-156.02658,LEFT LEG BAND #1: H55 BLACK ON WHITE; ,Honokōhau,7,M,Ruddy Turnstone,15,21,13,,10/24/2019,24,10,2019,2,3.33,133226636,,N
TRUE,7021502,6,3,2,0,82,3,,0,US,0,1,5,PL,Bow net,PL,702,70.42639,"20.8 mi NNE from Nuiqsut(Helmericks' Yard, Anachlik Island-Colville River Delta, 50 miles wsw of Deadhorse Alaska), North Slope Borough Alaska, United States (Bandit ID: LOCA)",275281,1502,-150.40139,"PLASTIC COLOR LEG BAND, LEFT LEG BELOW THE JOINT: H55 BLACK ON WHITE, STYLE - 3HBT;",22589,5,2830,Ruddy Turnstone,2,133226636,6/5/2018,5,6,2018,S,3511.4,1941560,96,,E,E,Band number auto-assigned.,11,US,1,1/17/2020,1,2020,0,1,0,,29,194,19.68389,Kaloko-Honokohau National Historical Park,,1560,-156.02917,RIGHT LEG BAND #1: MISCELLANEOUS; LEFT LEG BAND #1: H55 BLACK ON WHITE; ,,13,W,RUDDY TURNSTONE,15,21,13,,1/11/2020,11,1,2020,2,3.58,133226636,,N
TRUE,7021502,6,3,2,0,82,3,,0,US,0,1,5,PL,Bow net,PL,702,70.42639,"20.8 mi NNE from Nuiqsut(Helmericks' Yard, Anachlik Island-Colville River Delta, 50 miles wsw of Deadhorse Alaska), North Slope Borough Alaska, United States (Bandit ID: LOCA)",275281,1502,-150.40139,"PLASTIC COLOR LEG BAND, LEFT LEG BELOW THE JOINT: H55 BLACK ON WHITE, STYLE - 3HBT;",22589,5,2830,Ruddy Turnstone,2,133226636,6/5/2018,5,6,2018,S,3511.8,1941560,96,,E,F,Enc created from Marker ID#: 231799;  Updated location per remarks--CSH;;,0,US,1,2/15/2019,2,2019,0,1,0,,29,194,19.6771,Kaloko-Honokōhau National Historical Park,,1560,-156.0259,LEFT LEG BAND #3: H55 BLACK ON WHITE; ,,7,W,tournepierre à collier,15,21,13,,11/3/2018,3,11,2018,1,2.42,133226636,,N
TRUE,7021502,6,3,2,0,82,3,,0,US,0,1,5,PL,Bow net,PL,702,70.42639,"20.8 mi NNE from Nuiqsut(Helmericks' Yard, Anachlik Island-Colville River Delta, 50 miles wsw of Deadhorse Alaska), North Slope Borough Alaska, United States (Bandit ID: LOCA)",275281,1502,-150.40139,"PLASTIC COLOR LEG BAND, LEFT LEG BELOW THE JOINT: H55 BLACK ON WHITE, STYLE - 3HBT;",22589,5,2830,Ruddy Turnstone,2,133226636,6/5/2018,5,6,2018,S,3512,1941560,96,,E,E,Band number auto-assigned.;,0,US,1,2/12/2019,2,2019,0,1,0,,29,194,19.67461,Kaloko-Honokōhau National Historical Park,,1560,-156.02632,RIGHT LEG BAND #1: SILVER; LEFT LEG BAND #1: H55 BLACK ON WHITE; ,Honokōhau,7,WM,Ruddy Turnstone,15,21,13,,2/11/2019,11,2,2019,1,2.67,133226636,,N
TRUE,7021502,6,3,2,0,82,3,,0,US,0,1,5,PL,Bow net,PL,702,70.42639,"20.8 mi NNE from Nuiqsut(Helmericks' Yard, Anachlik Island-Colville River Delta, 50 miles wsw of Deadhorse Alaska), North Slope Borough Alaska, United States (Bandit ID: LOCA)",275281,1502,-150.40139,"PLASTIC COLOR LEG BAND, LEFT LEG BELOW THE JOINT: H55 BLACK ON WHITE, STYLE - 3HBT;",22589,5,2830,Ruddy Turnstone,2,133226636,6/5/2018,5,6,2018,S,3512.1,1941560,96,,E,E,Band number auto-assigned.; confirmed w photo--mcr;,0,US,1,3/21/2019,3,2019,0,1,0,,29,194,19.67292,,,1560,-156.02923,LEFT LEG BAND #1: H55 BLACK ON WHITE; ,Honokōhau,7,M,Ruddy Turnstone,15,23,13,22557,3/5/2019,5,3,2019,1,2.75,133226636,,N
TRUE,7021502,6,3,2,0,82,3,,0,US,0,1,5,PL,Bow net,PL,702,70.42639,"20.8 mi NNE from Nuiqsut(Helmericks' Yard, Anachlik Island-Colville River Delta, 50 miles wsw of Deadhorse Alaska), North Slope Borough Alaska, United States (Bandit ID: LOCA)",275281,1502,-150.40139,"PLASTIC COLOR LEG BAND, LEFT LEG BELOW THE JOINT: H55 BLACK ON WHITE, STYLE - 3HBT;",22589,5,2830,Ruddy Turnstone,2,133226636,6/5/2018,5,6,2018,S,3511.7,1941560,96,,E,E,,0,US,1,10/3/2018,10,2018,0,1,0,,29,194,19.67871,Kaloko Honokohau National Historical Park,,1560,-156.02131,LEFT LEG BAND #1: H55 BLACK ON WHITE; ,Honokōhau,7,DM,Ruddy Turnstone,15,21,7,,9/1/2018,1,9,2018,1,2.25,133226636,,N
TRUE,8230622,0,40,2,0,41,2,,0,CA,0,19,6,NA,Potter trap,NA,823,82.50833,"491 mi NNE from Grise Fjord(Breeding Site Rutu), Nunavut, Canada (Bandit ID: ALERT)",322667,622,-62.41056,"LEG FLAG, LEFT LEG ABOVE THE JOINT: A2V BLACK ON WHITE, STYLE - 3VLR;",10889,0,2830,Ruddy Turnstone,14,137246895,8/16/2018,16,8,2018,SSE,1340.1,6350380,94,,E,E,mod to AT SEA--mcr; mod loc desc per finder request (wants more info on c/a)--mcr;;,0,94,,6/17/2019,6,2019,0,0,0,,52,635,63.99613,"At sea. Resting on fishing vessel Polar Princes at Fylkir Bank, Tassilaq (Angmassalik) ~ 64N, 38W",,380,-38.0664,LEFT LEG FLAG: A2V BLACK ON WHITE; ,,7,,Arenaria interpres,0,22,7,,6/14/2019,14,6,2019,1,1,137246895,,N
TRUE,8230622,0,40,2,0,41,2,,0,CA,0,19,6,NA,Potter trap,NA,823,82.50833,"491 mi NNE from Grise Fjord(Breeding Site Rutu), Nunavut, Canada (Bandit ID: ALERT)",322667,622,-62.41056,"LEG FLAG, LEFT LEG ABOVE THE JOINT: A2Y BLACK ON WHITE, STYLE - 3VLR;",10889,0,2830,Ruddy Turnstone,14,137246897,8/19/2018,19,8,2018,E,2268.8,5520082,24,,E,E,Enc created from Marker ID#: 229053; ;;,0,DA,0,12/13/2018,12,2018,1,0,0,,29,552,55.35556,,,82,8.42306,LEFT LEG FLAG: A2Y BLACK ON WHITE; ,Sonderho,7,C1,Ruddy Turnstone,8,22,13,,9/12/2018,12,9,2018,1,0.25,137246897,,N
