"tagID","tagProjectID","dateBin","mfgID","period","tagDeployID","utcYearStart","utcMonthStart","utcDayStart","utcHourStart","utcMinuteStart","utcYearEnd","utcMonthEnd","utcDayEnd","utcHourEnd","utcMinuteEnd","deferSec","speciesName","bandNumber","markerNumber","markerType","decimalLatitude","decimalLongitude","elevationMeters","sex","age","weightGrams","wingMillimeters","tarsusMillimeters","culmenMillimeters","billMillimeters","headMillimeters","fatScore","comments","test"
"23586","140","2017-1","54","5.2978","11012","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1262-04999","PJT","dark green flag","32.57500000","-80.14870000","","","ad","150.0","169.0","","36.3","","65.5","","","false"
"23587","140","2017-1","55","5.2978","11013","2017","4","30","4","0","","","","","","0.0","Calidris canutus","1262-04637","PKT","dark green flag","32.57500000","-80.14870000","","","ad","154.0","173.0","","35.5","","65.2","","","false"
"23588","140","2017-1","56","5.2977","11014","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1262-04996","PJJ","dark green flag","32.57500000","-80.14870000","","","ad","139.0","160.0","","36.0","","68.8","","","false"
"23589","140","2017-1","57","5.2977","11015","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1262-04998","PJN","dark green flag","32.57500000","-80.14870000","","","ad","127.0","168.0","","33.6","","64.8","","","false"
"23590","140","2017-1","58","5.2979","11016","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1262-04992","PHT","dark green flag","32.57500000","-80.14870000","","","ad","160.0","168.0","","35.8","","65.1","","","false"
"23591","140","2017-1","59","5.2979","11017","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1262-04997","PJL","dark green flag","32.57500000","-80.14870000","","","ad","141.0","166.0","","35.2","","66.2","","","false"
"23592","140","2017-1","60","5.2978","11018","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1262-04985","PHC","dark green flag","32.57500000","-80.14870000","","","ad","144.0","162.0","","37.4","","67.4","","","false"
"23593","140","2017-1","61","5.2979","11019","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1262-04617","PHY","dark green flag","32.57500000","-80.14870000","","","ad","111.0","163.0","","34.4","","67.2","","","false"
"23594","140","2017-1","62","5.2977","11020","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1313-97026","U3Y","orange flag","32.57500000","-80.14870000","","","ad","116.0","","","","","","","","false"
"23594","140","2017-1","62","5.2977","19951","2017","2","26","5","0","2017","4","6","3","58","0.0","","","","","","","","","","","","","","","","","Accidently activated and remained on","true"
"23595","140","2017-1","63","5.2979","11021","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1262-04977","PEH","dark green flag","32.57500000","-80.14870000","","","ad","143.0","156.0","","35.1","","63.5","","","false"
"23596","140","2017-1","5","9.6971","11022","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1262-04628","PKA","dark green flag","32.57500000","-80.14870000","","","ad","117.0","150.0","","33.2","","66.0","","","false"
"23597","140","2017-1","6","9.6971","11023","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1262-04989","PHM","dark green flag","32.57500000","-80.14870000","","","ad","139.0","165.0","","33.5","","62.4","","","false"
"23598","140","2017-1","7","9.6972","11024","2017","4","30","4","0","","","","","","0.0","Calidris canutus","1262-04126","PKN","dark green flag","32.57500000","-80.14870000","","","ad","162.0","","","","","","","","false"
"23599","140","2017-1","8","9.6972","11025","2017","4","30","4","0","","","","","","0.0","Calidris canutus","1262-04640","PKX","dark green flag","32.57500000","-80.14870000","","","ad","135.0","165.0","","34.1","","62.0","","","false"
"23600","140","2017-1","9","9.6973","11026","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1262-04633","PKK","dark green flag","32.57500000","-80.14870000","","","ad","149.0","162.0","","34.4","","65.6","","","false"
"23601","140","2017-1","10","9.6973","11027","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1262-04629","PKC","dark green flag","32.57500000","-80.14870000","","","ad","155.0","164.0","","34.0","","63.4","","","false"
"23602","140","2017-1","11","9.6973","11028","2017","4","29","4","0","","","","","","0.0","Calidris canutus","","","","32.57500000","-80.14870000","","","ad","","","","","","","","","false"
"23603","140","2017-1","12","9.6971","11029","2017","4","30","4","0","","","","","","0.0","Calidris canutus","1262-04634","PKL","dark green flag","32.57500000","-80.14870000","","","ad","165.0","165.0","","35.9","","66.2","","","false"
"23604","140","2017-1","13","9.6972","11030","2017","4","30","4","0","","","","","","0.0","Calidris canutus","1262-04638","PKU","dark green flag","32.57500000","-80.14870000","","","ad","145.0","162.0","","35.6","","66.5","","","false"
"23605","140","2017-1","14","9.6972","11031","2017","4","29","4","0","","","","","","0.0","Calidris canutus","1262-05000","PJX","dark green flag","32.57500000","-80.14870000","","","ad","138.0","162.0","","33.1","","62.2","","","false"
"28461","140","2018-2","364","4.699699878692627","16194","2018","5","22","4","0","","","","","","0.0","Arenaria interpres","1262-04651","NAM","dark green flag","32.07100000","-80.89000000","","","ad","154.0","154.0","","22.1","","","","","false"
"28462","140","2018-2","365","4.699699878692627","16195","2018","5","22","4","0","","","","","","0.0","Arenaria interpres","1262-04650","NAL","dark green flag","32.07100000","-80.89000000","","","ad","109.0","147.0","","21.2","","","","","false"
"28463","140","2018-2","366","4.69980001449585","16196","2018","5","22","4","0","","","","","","0.0","Arenaria interpres","1262-04652","NAN","dark green flag","32.07100000","-80.89000000","","","ad","151.0","150.0","","21.2","","","","","false"
"28464","140","2018-2","367","4.699699878692627","16197","2018","4","19","4","0","","","","","","0.0","Calidris canutus","1262-02101","NHA","dark green flag","32.56040000","-80.16450000","","","ad","128.0","170.0","","32.9","","","","","false"
"28465","140","2018-2","368","4.6992998123168945","16198","2018","5","22","4","0","","","","","","0.0","Arenaria interpres","1262-04653","NAP","dark green flag","32.07100000","-80.89000000","","","ad","158.0","145.0","","23.5","","","","","false"
"28466","140","2018-2","369","4.69920015335083","16199","2018","5","22","4","0","","","","","","0.0","Arenaria interpres","1262-04654","NAT","dark green flag","32.07100000","-80.89000000","","","ad","161.0","146.0","","21.5","","","","","false"
"28467","140","2018-2","370","4.6992998123168945","16200","2018","5","22","4","0","","","","","","0.0","Arenaria interpres","1262-04655","NAU","dark green flag","32.07100000","-80.89000000","","","ad","159.0","150.0","","23.1","","","","","false"
"28468","140","2018-2","371","4.699100017547607","16201","2018","5","22","4","0","","","","","","0.0","Arenaria interpres","1262-04656","NAV ","dark green flag","32.07100000","-80.89000000","","","ad","132.0","150.0","","23.8","","","","","false"
"28469","140","2018-2","372","4.69920015335083","16202","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02105","NAX","dark green flag","32.07100000","-80.89000000","","","ad","165.0","","","","","","","","false"
"28470","140","2018-2","373","4.69920015335083","16203","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02106","LXL","dark green flag","32.07100000","-80.89000000","","","ad","158.0","","","","","","","","false"
"28471","140","2018-2","374","4.69920015335083","16204","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02107","LXM","dark green flag","32.07100000","-80.89000000","","","ad","150.0","","","","","","","","false"
"28472","140","2018-2","375","4.6992998123168945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28473","140","2018-2","376","4.69920015335083","16206","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02108","LXN","dark green flag","32.07100000","-80.89000000","","","ad","157.0","","","","","","","","false"
"28474","140","2018-2","377","4.6992998123168945","16207","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02109","LXP","dark green flag","32.07100000","-80.89000000","","","ad","142.0","","","","","","","","false"
"28475","140","2018-2","378","4.6992998123168945","16208","2018","4","19","4","0","","","","","","0.0","Calidris canutus","1262-02103","NHE","dark green flag","32.56040000","-80.16450000","","","ad","129.0","162.0","","35.4","","","","","false"
"28476","140","2018-2","379","4.6992998123168945","16209","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02110","LXT","dark green flag","32.07100000","-80.89000000","","","ad","155.0","","","","","","","","false"
"28477","140","2018-2","380","4.6992998123168945","16210","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02111","LXU","dark green flag","32.07100000","-80.89000000","","","ad","166.0","","","","","","","","false"
"28478","140","2018-2","381","4.699100017547607","16211","2018","4","19","4","0","","","","","","0.0","Calidris canutus","1262-02104","NHH","dark green flag","32.56040000","-80.16450000","","","ad","138.0","166.0","","34.0","","","","","false"
"28479","140","2018-2","382","4.69920015335083","16212","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02112","LXV","dark green flag","32.07100000","-80.89000000","","","ad","149.0","","","","","","","","false"
"28480","140","2018-2","383","4.6992998123168945","16213","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02113","LXX","dark green flag","32.07100000","-80.89000000","","","ad","150.0","","","","","","","","false"
"28481","140","2018-2","334","4.69980001449585","19547","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02117","LYE","dark green flag","32.07100000","-80.89000000","","","ad","145.0","","","","","","","","false"
"28482","140","2018-2","335","4.699900150299072","19548","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02115","LYA","dark green flag","32.07100000","-80.89000000","","","ad","153.0","","","","","","","","false"
"28483","140","2018-2","336","4.69980001449585","19549","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02116","LYC","dark green flag","32.07100000","-80.89000000","","","ad","149.0","","","","","","","","false"
"28484","140","2018-2","337","4.699699878692627","19550","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02114","LXY","dark green flag","32.07100000","-80.89000000","","","ad","152.0","","","","","","","","false"
"28485","140","2018-2","338","4.69980001449585","19551","2018","5","22","4","0","","","","","","0.0","Arenaria interpres","1262-04649","NAK","dark green flag","32.07100000","-80.89000000","","","ad","145.0","141.0","","21.3","","","","","false"
"28486","140","2018-2","339","4.699699878692627","19552","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02118","LYH","dark green flag","32.07100000","-80.89000000","","","ad","143.0","","","","","","","","false"
"28486","140","2018-2","339","4.699699878692627","19950","2018","5","22","4","0","2018","5","24","3","58","0.0","","","","","","","","","","","","","","","","","","true"
"28487","140","2018-2","340","4.699699878692627","19553","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02119","LYJ","dark green flag","32.07100000","-80.89000000","","","ad","159.0","","","","","","","","false"
"28488","140","2018-2","341","4.69980001449585","19554","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02121","LYL","dark green flag","32.07100000","-80.89000000","","","ad","139.0","","","","","","","","false"
"28489","140","2018-2","342","4.699900150299072","19555","2018","5","24","4","0","","","","","","0.0","Calidris canutus","1262-02125","NHJ","dark green flag","32.07100000","-80.89000000","","","ad","131.0","","","","","","","","false"
"28489","140","2018-2","342","4.699900150299072","19949","2018","4","4","4","0","2018","4","5","3","58","0.0","","","","","","","","","","","","","","","","","","true"
"28490","140","2018-2","343","4.697700023651123","19556","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02120","LYK","dark green flag","32.07100000","-80.89000000","","","ad","157.0","","","","","","","","false"
"28491","140","2018-2","344","4.699699878692627","19557","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02122","LYM","dark green flag","32.07100000","-80.89000000","","","ad","160.0","","","","","","","","false"
"28492","140","2018-2","345","4.699699878692627","19558","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02123","LYN","dark green flag","32.07100000","-80.89000000","","","ad","158.0","","","","","","","","false"
"28493","140","2018-2","346","4.699699878692627","19559","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02124","LYP","dark green flag","32.07100000","-80.89000000","","","ad","179.0","","","","","","","","false"
"28494","140","2018-2","347","4.69980001449585","19560","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02126","LYT","dark green flag","32.07100000","-80.89000000","","","ad","140.0","","","","","","","","false"
"28495","140","2018-2","348","4.699699878692627","19561","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02127","LYU","dark green flag","32.07100000","-80.89000000","","","ad","158.0","","","","","","","","false"
"28496","140","2018-2","349","4.699699878692627","19562","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02143","=VP","light green flag","32.07100000","-80.89000000","","","ad","158.0","","","","","","","","false"
"28497","140","2018-2","350","4.69920015335083","19563","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02131","=XA","light green flag","32.07100000","-80.89000000","","","ad","171.0","","","","","","","","false"
"28498","140","2018-2","351","4.6992998123168945","19564","2018","5","24","4","0","","","","","","0.0","Arenaria interpres","1262-02130","LYY","dark green flag","32.07100000","-80.89000000","","","ad","169.0","","","","","","","","false"
"28498","140","2018-2","351","4.6992998123168945","19948","2018","4","4","4","0","2018","4","6","3","58","0.0","","","","","","","","","","","","","","","","","","true"
