"tagID","tagProjectID","dateBin","mfgID","period","tagDeployID","utcYearStart","utcMonthStart","utcDayStart","utcHourStart","utcMinuteStart","utcYearEnd","utcMonthEnd","utcDayEnd","utcHourEnd","utcMinuteEnd","deferSec","speciesName","bandNumber","markerNumber","markerType","decimalLatitude","decimalLongitude","elevationMeters","sex","age","weightGrams","wingMillimeters","tarsusMillimeters","culmenMillimeters","billMillimeters","headMillimeters","fatScore","comments","test"
"24113","4","2017-2","519","39.6898","11291","2017","7","8","11","35","","","","","","0.0","Rallus elegans","","","","36.53020000","-75.97820000","1.0","","","","","","","","","","","false"
"24114","4","2017-2","521","39.6898","11292","2017","6","7","13","47","","","","","","0.0","Rallus elegans","","","","36.51200000","-75.93360000","1.0","","","","","","","","","","","false"
"24296","4","2017-2","121","6.0961","11378","2015","10","28","12","0","","","","","","","","","","","","","","","","","","","","","","","TEST TAG","true"
"26216","4","2017-3","518","39.6890983581543","15130","2017","11","4","4","0","","","","","","","Porzana carolina","","","","36.52710000","-75.98960000","0.0","","","","","","","","","","","false"
"32421","4","2018-4","317","11.298999786376953","27129","2019","10","26","1","0","","","","","","","Porzana carolina","1443-67431","","","36.52700000","-75.99000000","1.0","","imm","","","","","","","","","false"
"32422","4","2018-4","318","11.29889965057373","27130","2019","10","26","2","0","","","","","","","Rallus limicola","1443-67433","","","36.52700000","-75.99000000","1.0","","unk","","","","","","","","","false"
"32423","4","2018-4","319","11.29889965057373","27131","2019","10","26","2","0","","","","","","","Porzana carolina","1443-67434","","","36.52700000","-75.99000000","1.0","","ad","","","","","","","","","false"
"32424","4","2018-4","320","11.297599792480469","27132","2019","10","26","3","0","","","","","","","Porzana carolina","1443-67435","","","36.52700000","-75.99000000","1.0","","ad","","","","","","","","","false"
"32425","4","2018-4","321","11.298999786376953","27133","2019","10","26","5","0","","","","","","","Porzana carolina","1443-67436","","","36.52700000","-75.99000000","1.0","","ad","","","","","","","","","false"
"32426","4","2018-4","323","11.29889965057373","22599","2019","5","15","14","0","2019","5","15","15","0","","","","","","36.52700000","-75.98940000","2.0","","","","","","","","","","Test activation to confirm Motus station operation","true"
"32426","4","2018-4","323","11.29889965057373","26306","2019","9","15","3","30","","","","","","","Porzana carolina","1443-67430","","","36.52700000","-75.99000000","","","ad","","","","","","","","","false"
"32427","4","2018-4","324","11.29889965057373","27134","2019","10","26","5","0","","","","","","","Porzana carolina","1443-67437","","","36.52700000","-75.99000000","1.0","","imm","","","","","","","","","false"
"32428","4","2018-4","325","11.298999786376953","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32429","4","2018-4","326","11.29889965057373","27135","2019","10","26","5","0","","","","","","","Porzana carolina","1292-78823","","","36.52700000","-75.99000000","1.0","","ad","","","","","","","","","false"
"32430","4","2018-4","322","11.29889965057373","26307","2019","9","15","2","0","","","","","","","Porzana carolina","1292-78819","","","36.52700000","-75.99000000","","","imm","","","","","","","","","false"
